"Age","Attribute0","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Club","Date_of_Birth","Division","Full_Name","Hairstyle","Height_cm","League","Nation","Positions","Preferred_Foot","Rating","Squad_Number","Weight_kg","_corrupt_record","County_league"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiacos","25 November 1987","1","El Arabi Hilal Soudani","Short","178","Super League 1","Algeria","Attacking Midfielder Right Left","Both","83","2","78",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiacos","1 January 1994","1","Giorgos Masouras","Cropped","175","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","83","19","70",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","4 June 1992","1","Hugo Filipe Gonçalves Martins De Sousa","Short","180","Super League 1","Portugal","Defender Centre","Right","80","3","74",NULL,"GREECE"
28,"Positioning","Work Rate","Strength","Pace","Movement","Creativity","Determination","Corners","Flair","Stamina","Aris Thessaloniki","8 February 1992","1","Lindsay Rose","Cropped","184","Super League 1","Mauritius","Defender Right Centre","Right","83","92","79",NULL,"GREECE"
29,"Passing","Dribbling","Long Shots","Creativity","Pace","Corners","Strength","Work Rate","Positioning","Flair","Aris Thessaloniki","11 August 1990","1","Lerin Duarte","Shaved","168","Super League 1","Netherlands","Defender Left","Left","82","8","65",NULL,"GREECE"
31,"Leadership","Movement","Flair","Aggression","Positioning","Marking","Aerial Ability","Dribbling","Stamina","Finishing","Aris Thessaloniki","10 October 1988","1","Brown Aide Ideye","Short","181","Super League 1","Nigeria","Forward Right Left Centre","Right","83","11","70",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","5 March 2001","1","Panagiotis-Ioannis Tsagalidis","Cropped","176","Super League 1","Greece","Defender Left","Left","67","31","70",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","6 September 2000","1","Apostolos Tsilingiris","Short","185","Super League 1","Greece","Goalkeeper","Right","65","75","73",NULL,"GREECE"
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","29 June 2001","1","Petros Bakoutsis","Short","180","Super League 1","Greece","Defensive Midfielder Centre","Right","65","38","70",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiacos","19 December 1986","1","Lazaros Christodoulopoulos","Short","183","Super League 1","Greece","Midfielder Centre","Both","83","77","77",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","1 December 1988","1","Mihály Korhut","Short","181","Super League 1","Hungary","Defender Left","Left","82","69","76",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","6 February 2001","1","Petros Bagalianis","Short","180","Super League 1","Greece","Defender Right Left Centre","Right","65","40","73",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","1 December 1987","1","Giorgos Delizisis","Short","191","Super League 1","Greece","Defender Centre","Right","78","5","82",NULL,"GREECE"
23,"Movement","Aerial Ability","Pace","Strength","Penalties","Flair","Passing","Composure","Finishing","Long Shots","Olympiacos","14 November 1996","1","Fiorin Durmishaj","Short","186","Super League 1","Greece","Forward Centre","Right","82",NULL,"75",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","18 November 1988","1","Dimitris Diamantopoulos","Short","179","Super League 1","Greece","Forward Centre","Right","78","9","74",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","31 May 1988","1","Nicolas Diguiny","Shaved","179","Super League 1","France","Attacking Midfielder Right Left Centre","Right","82","7","70",NULL,"GREECE"
29,"Flair","Movement","Strength","Pace","Creativity","Aggression","Passing","Leadership","Long Shots","Crossing","Aris Thessaloniki","21 December 1990","1","Giannis Fetfatzidis","Short","168","Super League 1","Greece","Attacking Midfielder Right Left Centre","Both","85","28","63",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","2 June 1994","1","Dimitris Konstantinidis","Short","173","Super League 1","Greece","Defender Right Left","Right","80","22","70",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","15 July 1991","1","Alejandro Menéndez Díez","Short","182","Super League 1","Spain","Defender Left","Left","82","91","68",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiacos","9 March 1999","1","Maximiliano Alberto Lovera","Short","170","Super League 1","Argentina","Attacking Midfielder Right Left Centre","Right","82","22","65",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FC Nantes","29 July 1998","1","Abou-Malal Ba","Shaved","182","Super League 1","France","Defensive Midfielder Centre","Right","80","98","75",NULL,"GREECE"
26,"Passing","Tackling","Movement","Strength","Pace","Control","Crossing","Dribbling","Positioning","Work Rate","Sporting CP","21 April 1994","1","Bruno Miguel Boialvo Gaspar","Shaved","180","Super League 1","Angola","Defender Right Left","Right","85","76","73",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","28 August 1998","1","Fabian Ehmann","Short","189","Super League 1","Austria","Goalkeeper","Right","77","1","77",NULL,"GREECE"
31,"Passing","Long Shots","Pace","Strength","Corners","Work Rate","Determination","Movement","Positioning","Flair","Aris Thessaloniki","16 August 1988","1","Javier Magro Matilla","Short","176","Super League 1","Spain","Defensive Midfielder Right Centre","Right","83","26","72",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","28 March 1991","1","Julián Cuesta Díaz","Short","196","Super League 1","Spain","Goalkeeper","Right","80","23","91",NULL,"GREECE"
23,"Tackling","Aerial Ability","Free Kicks","Aggression","Creativity","Marking","Movement","Stamina","Finishing","Long Shots","Aris Thessaloniki","11 November 1996","1","Daniel Mancini","Short","170","Super League 1","Argentina","Defensive Midfielder Centre","Right","80","24","71",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","21 October 1989","1","Martín Tonso","Short","168","Super League 1","Argentina","Attacking Midfielder Right Left Centre","Left","82","19","66",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aris Thessaloniki","1 March 1990","1","Lucas Pacheco Affini","Short","177","Super League 1","Brazil","Defender Right Left","Both","83","88","72",NULL,"GREECE"
32,"Work Rate","Aggression","Free Kicks","Flair","Penalties","Marking","Movement","Dribbling","Finishing","Stamina","Aris Thessaloniki","25 September 1987","1","Nicolás Martínez","Long","169","Super League 1","Argentina","Attacking Midfielder Right Left Centre","Left","80","18","65",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","2 March 1995","1","Yahia Attiyat Allah","Short","180","Super League 1","Morocco","Attacking Midfielder Right Left Centre","Right","78","14","73",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","1 March 2000","1","Konstantinos Korelas","Short","175","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","73","19","70",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","8 February 1999","1","Konstantinos Balogiannis","Short","179","Super League 1","Greece","Midfielder Centre","Right","73","99","71",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","11 May 2000","1","Marios Tsaousis","Cropped","175","Super League 1","Greece","Defender Left","Left","73","20","70",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","20 May 2000","1","Apostolos Diamantis","Cropped","183","Super League 1","Greece","Defender Centre","Right","73","67","75",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","20 June 1997","1","Anastasios Karagiozis","Short","185","Super League 1","Greece","Goalkeeper","Right","73","13","73",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","25 May 1990","1","Stergios Dimopoulos","Short","180","Super League 1","Greece","Defender Left Centre","Left","77","33","75",NULL,"GREECE"
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","3 April 2002","1","Vasilis Kravaritis","Short","187","Super League 1","Greece","Goalkeeper","Right","67","71","73",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","22 February 2000","1","Leftheris Lyratzis","Short","175","Super League 1","Greece","Defender Right Left","Right","75","22","65",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Panathinaikos","23 June 1991","1","Francisco Manuel Vélez Jiménez","Cropped","180","Super League 1","Spain","Defender Centre","Right","82","44","75",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","16 September 2000","1","Alexandros Kyziridis","Cropped","175","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","73","89","70",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Athens","23 February 1998","1","Giorgos Kornezos","Cropped","182","Super League 1","Greece","Defender Centre","Right","70","45","76",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAOK","24 February 1993","1","Nikolaos Melissas","Short","193","Super League 1","Greece","Goalkeeper","Right","77","30","78",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","13 March 1995","1","Antonis Dentakis","Cropped","179","Super League 1","Greece","Defender Right","Right","78","2","78",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","2 May 1991","1","Anastasios Tsokanis","Short","182","Super League 1","Greece","Defender Left","Left","80","6","78",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","4 December 1991","1","Vasilios Mantzis","Short","181","Super League 1","Greece","Attacking Midfielder Right Left","Right","78","9","75",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","11 July 1996","1","Sergio Chica Villares","Short","188","Super League 1","Spain","Defender Centre","Right","75",NULL,"80",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"De Graafschap","7 December 1994","1","Giannis Mystakidis","Unknown","181","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","82","27","75",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AEK Larnaca","22 December 1987","1","Ignacio Cases Mora","Short","175","Super League 1","Spain","Defensive Midfielder Centre","Left","82",NULL,"67",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","14 March 1992","1","Juan Muñiz Gallego","Short","175","Super League 1","Spain","Attacking Midfielder Right Left Centre","Left","82","8","74",NULL,"GREECE"
33,"Strength","Pace","Aerial Ability","Tackling","Stamina","Saving Penalties","Work Rate","Positioning","Determination","Movement","Volos NFC","9 July 1986","1","Sébastien Aymar Bassong Nguena","Shaved","187","Super League 1","Cameroon","Defender Centre","Left","78","4","73",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Newell’s Old Boys","28 January 1997","1","Joaquín Torres","Cropped","177","Super League 1","Argentina","Attacking Midfielder Right Left Centre","Right","82","18","67",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","5 March 1988","1","Liassine Cadamuro Betaiba","Unknown","186","Super League 1","Algeria","Defender Left Centre","Left","82",NULL,"76",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","9 May 1992","1","Franco Ferrari","Cropped","168","Super League 1","Argentina","Defender Left","Left","77","3","68",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","6 August 1992","1","Athanasios Garavelis","Shaved","190","Super League 1","Greece","Goalkeeper","Left","76","1","82",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","11 February 1997","1","Konstantinos Panagiotou","Short","175","Super League 1","Greece","Defender Right","Right","68","22","70",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","26 May 1994","1","Fernando Rubén Joao","Short","162","Super League 1","Argentina","Attacking Midfielder Right Left Centre","Right","75","23","67",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","10 August 1992","1","Augusto Max","Short","175","Super League 1","Argentina","Midfielder Centre","Right","76","5","70",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","2 August 1999","1","Anastasios Douvikas","Short","184","Super League 1","Greece","Forward Centre","Right","77","9","75",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","12 June 2000","1","Kyriakos Glezos","Cropped","177","Super League 1","Greece","Midfielder Centre","Right","67","29","70",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","24 April 2000","1","Oluwatobiloba Adefunyibomi Alagbe","Short","185","Super League 1","Nigeria","Defender Centre","Right","65","69","75",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","29 January 2000","1","Giorgos Kanellopoulos","Short","178","Super League 1","Greece","Midfielder Centre","Right","67","24","74",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","20 October 1999","1","Gerasimos Mitoglou","Short","182","Super League 1","Greece","Defender Centre","Right","67","24","74",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Volos NFC","6 December 1992","1","Iker Guarrotxena Vallejo","Short","177","Super League 1","Spain","Attacking Midfielder Right Left","Right","82",NULL,"67",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","4 February 2000","1","Giorgos Antzoulas","Short","188","Super League 1","Greece","Defender Centre","Right","73","42","73",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","12 March 2001","1","Panagiotis Tzimas","Short","178","Super League 1","Greece","Midfielder Centre","Right","68","21","74",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","3 May 1991","1","Christos Tasoulis","Short","175","Super League 1","Greece","Defender Left","Left","78","3","69",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","16 December 1992","1","Giannis Kotsiras","Short","183","Super League 1","Greece","Defender Right","Right","80","27","78",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","14 January 2001","1","Alexandros Kardaris","Short","180","Super League 1","Greece","Defender Right Left Centre","Right","65","43","75",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","21 July 1999","1","Antonis Tsiftsis","Short","185","Super League 1","Greece","Goalkeeper","Right","70","99","76",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","10 April 1990","1","Nikolaos Papadopoulos","Short","193","Super League 1","Greece","Goalkeeper","Right","80","1","82",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","14 February 1992","1","Valentinos Vlachos","Short","185","Super League 1","Greece","Defender Right","Right","80","37","79",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","19 April 1996","1","Adrián Riera Torrecillas","Short","176","Super League 1","Spain","Attacking Midfielder Right Left","Right","76","23","61",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","30 September 1996","1","Francesc Regis Crespi","Short","180","Super League 1","Spain","Forward Centre","Right","78","11","72",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","18 November 1996","1","Andrés Pascual Santonja","Cropped","180","Super League 1","Spain","Midfielder Right Left","Left","77","40","70",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","18 May 1991","1","José Luis Valiente Giménez","Short","184","Super League 1","Spain","Defensive Midfielder Centre","Right","78","6","78",NULL,"GREECE"
17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","3 February 2003","1","Vangelis Karachalios","Cropped","187","Super League 1","Greece","Goalkeeper","Right","63","95","75",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","19 July 1996","1","Triantafyllos Pasalidis","Short","185","Super League 1","Greece","Defender Centre","Right","80","4","75",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","22 June 2000","1","Giannis Christopoulos","Short","180","Super League 1","Greece","Defender Right Left Centre","Right","73","45","70",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","16 August 1995","1","Borja Fernández Fernández","Short","177","Super League 1","Spain","Defensive Midfielder Centre","Right","78","8","71",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","7 May 1990","1","Daniel Súarez García-Osorio","Short","190","Super League 1","Spain","Defender Centre","Right","78","15","82",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","7 January 1994","1","Patricio Martin Matricardi","Short","189","Super League 1","Argentina","Defender Centre","Right","78","34","85",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","29 April 1990","1","Marc Fernández Gracia","Shaved","179","Super League 1","Spain","Attacking Midfielder Right Left","Right","78","7","70",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"APOEL","16 December 1993","1","Neophytos Michail","Short","190","Super League 1","Cyprus","Goalkeeper","Right","76","93","78",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","20 March 1988","1","Juan Manuel Munafo Horta","Short","171","Super League 1","Argentina","Defensive Midfielder Centre","Right","82","12","63",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","28 January 1986","1","Jerónimo Barrales","Bald","186","Super League 1","Argentina","Forward Centre","Right","82","30","82",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","18 April 1985","1","Walter Matías Iglesias","Ponytail","193","Super League 1","Argentina","Defensive Midfielder Centre","Both","80","17","80",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","13 July 1996","1","Eneko Jauregi Escobar","Unknown","184","Super League 1","Spain","Forward Centre","Right","77","19","75",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","31 March 1990","1","Balázs Megyeri","Short","188","Super League 1","Hungary","Goalkeeper","Right","82","16","86",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","15 October 1993","1","Franco Bellocq","Short","175","Super League 1","Argentina","Defensive Midfielder Centre","Right","78","14","74",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","29 June 1998","1","Georgios Daviotis","Short","181","Super League 1","Greece","Attacking Midfielder Right Left","Right","70","27","72",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","23 September 1993","1","Luis Fernández Teijeiro","Short","175","Super League 1","Spain","Forward Centre","Right","78","10","72",NULL,"GREECE"
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","29 March 2002","1","Ronaldo Shani","Short","182","Super League 1","Greece","Forward Centre","Right","65","40","75",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","15 May 1991","1","Ángel Martínez Ortega","Shaved","179","Super League 1","Spain","Defender Left","Left","80","33","78",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","13 November 1992","1","Roland Ugrai","Short","174","Super League 1","Hungary","Attacking Midfielder Right Left Centre","Both","79","17","55",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AS Saint-Etienne","4 May 1998","1","Alexandros Katranis","Cropped","178","Super League 1","Greece","Defender Left","Left","80","3","72",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","4 December 1996","1","Dimitris Tsatsopoulos","Short","176","Super League 1","Greece","Attacking Midfielder Right Left","Right","70",NULL,"66",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Asteras Tripolis","13 June 1995","1","Eneko Capilla González","Short","175","Super League 1","Spain","Attacking Midfielder Right Left Centre","Left","80","5","75",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olympiacos","6 May 1997","1","Athanasios Androutsos","Cropped","178","Super League 1","Greece","Midfielder Centre","Right","82","14","70",NULL,"GREECE"
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","17 September 2001","1","Christos Mandas","Cropped","183","Super League 1","Greece","Goalkeeper","Right","73","35","75",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","29 April 1999","1","Antonis Trimmatis","Short","180","Super League 1","Greece","Forward Centre","Right","67","41","70",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","3 December 1987","1","Giorgos Manousos","Short","177","Super League 1","Greece","Attacking Midfielder Right Left","Right","80","9","73",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","12 January 1995","1","Charilaos Charisis","Short","177","Super League 1","Greece","Midfielder Centre","Right","82","6","68",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","3 January 1994","1","Spyros Risvanis","Short","194","Super League 1","Greece","Defender Centre","Right","83","44","82",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","17 September 1996","1","Christos Theodorakis","Cropped","185","Super League 1","Greece","Goalkeeper","Right","75","33","85",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","1 May 1993","1","Iraklis Garoufalias","Short","184","Super League 1","Greece","Defender Centre","Right","77","21","75",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","8 January 1992","1","Apostolos Vellios","Cropped","191","Super League 1","Greece","Forward Centre","Right","80","39","79",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","9 October 1997","1","Stefanos Stroungis","Short","187","Super League 1","Greece","Defender Centre","Right","70","29","73",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","21 July 1992","1","Kyriakos Kivrakidis","Unknown","170","Super League 1","Greece","Defender Right Left","Right","82",NULL,"67",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","10 July 1992","1","Clarck N'sikulu","Cropped","178","Super League 1","DR Congo","Attacking Midfielder Right Left Centre","Right","82","10","72",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","9 June 1998","1","Spyros Natsos","Short","173","Super League 1","Greece","Defender Right","Right","76","28","64",NULL,"GREECE"
31,"Aerial Ability","Strength","Corners","Pace","Positioning","Determination","Movement","Work Rate","Flair","Stamina","Atromitos","2 March 1989","1","José Raúl Baena Urdiales","Medium","179","Super League 1","Spain","Defensive Midfielder Centre","Right","82","18","73",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","3 July 1992","1","Petros Giakoumakis","Short","175","Super League 1","Greece","Attacking Midfielder Right Left Centre","Right","80","20","70",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","4 April 1994","1","Dimitris Goutas","Short","189","Super League 1","Greece","Defender Centre","Right","82","4","78",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","12 November 1991","1","Azer Bušuladžić","Unknown","187","Super League 1","Bosnia & Herzegovina","Defensive Midfielder Centre","Right","82","22","82",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Atromitos","17 May 1994","1","Bryan Martín Rabello Mella","Short","168","Super League 1","Chile","Midfielder Centre","Right","83",NULL,"61",NULL,"GREECE"
